id,key,group_or_issue,groups_or_issues,value
1,firstnations,group,culturalminorities,1
1,violence,issue,particular,1
1,women,group,genderandsexuality,1
1,familyrelations,issue,particular,1
2,firstnations,group,culturalminorities,1
2,violence,issue,particular,1
2,women,group,genderandsexuality,1
2,crime_criminaljustice,issue,particular,1
2,children,group,age,1
2,familyrelations,issue,particular,1
3,firstnations,group,culturalminorities,1
3,violence,issue,particular,1
3,women,group,genderandsexuality,1
3,children,group,age,1
3,familyrelations,issue,particular,1
3,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
3,shelter,issue,particular,1
4,firstnations,group,culturalminorities,1
4,women,group,genderandsexuality,1
4,crime_criminaljustice,issue,particular,1
4,inequality,issue,general,1
5,firstnations,group,culturalminorities,1
5,violence,issue,particular,1
5,women,group,genderandsexuality,1
5,prejudiceanddiscrimination_general,issue,general,1
6,firstnations,group,culturalminorities,1
6,women,group,genderandsexuality,1
6,crime_criminaljustice,issue,particular,1
6,racialminorities,group,culturalminorities,1
6,education,issue,particular,1
7,firstnations,group,culturalminorities,1
7,violence,issue,particular,1
7,women,group,genderandsexuality,1
7,crime_criminaljustice,issue,particular,1
7,prejudiceanddiscrimination_general,issue,general,1
8,firstnations,group,culturalminorities,1
8,women,group,genderandsexuality,1
8,work,issue,particular,1
8,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
9,firstnations,group,culturalminorities,1
9,violence,issue,particular,1
9,women,group,genderandsexuality,1
9,crime_criminaljustice,issue,particular,1
9,shelter,issue,particular,1
9,education,issue,particular,1
10,firstnations,group,culturalminorities,1
10,violence,issue,particular,1
10,women,group,genderandsexuality,1
10,prejudiceanddiscrimination_general,issue,general,1
10,healthcare_health,issue,particular,1
10,children,group,age,1
10,familyrelations,issue,particular,1
10,shelter,issue,particular,1
11,firstnations,group,culturalminorities,1
11,women,group,genderandsexuality,1
11,work,issue,particular,1
11,healthcare_health,issue,particular,1
12,firstnations,group,culturalminorities,1
12,violence,issue,particular,1
12,women,group,genderandsexuality,1
13,firstnations,group,culturalminorities,1
13,violence,issue,particular,1
13,women,group,genderandsexuality,1
13,work,issue,particular,1
13,prejudiceanddiscrimination_general,issue,general,1
13,racialminorities,group,culturalminorities,1
13,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
13,voice,issue,particular,1
14,firstnations,group,culturalminorities,1
14,women,group,genderandsexuality,1
14,work,issue,particular,1
14,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
14,inequality,issue,general,1
14,voice,issue,particular,1
14,education,issue,particular,1
15,firstnations,group,culturalminorities,1
15,violence,issue,particular,1
15,women,group,genderandsexuality,1
15,racialminorities,group,culturalminorities,1
15,inequality,issue,general,1
16,firstnations,group,culturalminorities,1
16,violence,issue,particular,1
16,women,group,genderandsexuality,1
16,children,group,age,1
16,education,issue,particular,1
17,firstnations,group,culturalminorities,1
